,labels,structure,hemisphere,rsn,x,y,z,nvoxels,tSNR
194,7Networks_LH_Limbic_TempPole_2,cortex,L,Limbic,-25.082436,3.405789,-37.437097,3186,8.687312991
195,7Networks_LH_Limbic_TempPole_3,cortex,L,Limbic,-27.263026,-10.86136,-31.668981,2555,10.63020214
196,7Networks_LH_Limbic_TempPole_4,cortex,L,Limbic,-52.113279,-20.928427,-29.456492,3644,6.208104174
197,7Networks_LH_Limbic_TempPole_5,cortex,L,Limbic,-40.894976,-20.562342,-25.440781,3152,8.779092139
198,7Networks_LH_Limbic_TempPole_6,cortex,L,Limbic,-42.360818,11.066857,-33.503152,6058,14.83636377
199,7Networks_LH_Limbic_TempPole_7,cortex,L,Limbic,-32.977044,10.286803,-27.845032,3392,11.46248609
200,7Networks_LH_Limbic_TempPole_8,cortex,L,Limbic,-22.004531,-23.398519,-23.661545,1582,10.24183596
201,7Networks_LH_Cont_Par_1,cortex,L,Cont,-29.331688,-69.721658,40.162026,2154,31.1876971
202,7Networks_LH_Cont_Par_2,cortex,L,Cont,-56.276252,-40.946425,39.999107,1550,31.26128697
203,7Networks_LH_Cont_Par_3,cortex,L,Cont,-51.29537,-49.31342,41.848046,2478,31.18038697
204,7Networks_LH_Cont_Par_4,cortex,L,Cont,-33.359176,-59.128518,43.607426,2594,30.70522893
205,7Networks_LH_Cont_Par_5,cortex,L,Cont,-40.990548,-51.099147,44.95089,1256,31.41911823
206,7Networks_LH_Cont_Par_6,cortex,L,Cont,-46.430848,-41.04848,44.878782,2649,30.25429807
207,7Networks_LH_Cont_Temp_1,cortex,L,Cont,-57.561713,-50.220307,-8.902747,3327,14.86344845
208,7Networks_LH_Cont_OFC_1,cortex,L,Cont,-26.671603,49.133099,-12.808933,2836,18.42666435
209,7Networks_LH_Cont_PFCl_1,cortex,L,Cont,-40.986854,46.77625,-4.823172,4475,24.36490758
210,7Networks_LH_Cont_PFCl_2,cortex,L,Cont,-43.60288,35.933692,10.137543,3065,25.38259728
211,7Networks_LH_Cont_PFCl_3,cortex,L,Cont,-36.845206,48.132294,11.473822,3717,29.37392248
212,7Networks_LH_Cont_PFCl_4,cortex,L,Cont,-26.855658,52.440979,13.688234,3238,29.20463289
213,7Networks_LH_Cont_PFCl_5,cortex,L,Cont,-39.660233,36.999973,20.718456,4403,27.40681817
214,7Networks_LH_Cont_PFCl_6,cortex,L,Cont,-42.622267,21.455399,25.899478,5773,24.71599768
215,7Networks_LH_Cont_PFCl_7,cortex,L,Cont,-39.482856,8.489741,33.569861,1920,23.7195811
216,7Networks_LH_Cont_PFCl_8,cortex,L,Cont,-36.414881,30.222422,34.044059,3118,30.13204882
217,7Networks_LH_Cont_PFCv_1,cortex,L,Cont,-32.060521,15.382975,-10.291062,1372,23.51941998
218,7Networks_LH_Cont_pCun_1,cortex,L,Cont,-9.864882,-71.821575,46.192104,2110,27.15854398
219,7Networks_LH_Cont_pCun_2,cortex,L,Cont,-6.980455,-61.242688,53.171364,2037,26.74710256
220,7Networks_LH_Cont_Cing_1,cortex,L,Cont,-3.168271,1.044937,30.133453,1143,16.43416528
221,7Networks_LH_Cont_Cing_2,cortex,L,Cont,-4.304103,-21.742601,28.775127,1000,14.26198218
222,7Networks_LH_Cont_PFCmp_1,cortex,L,Cont,-5.168215,23.800302,47.228763,3665,22.69982344
223,7Networks_LH_Default_Temp_1,cortex,L,Default,-51.881677,-2.015283,-29.530362,4224,13.25909333
224,7Networks_LH_Default_Temp_2,cortex,L,Default,-59.52114,-19.478029,-19.338828,3593,11.76939811
225,7Networks_LH_Default_Temp_3,cortex,L,Default,-57.368926,-37.980299,-17.781975,4399,8.438325042
226,7Networks_LH_Default_Temp_4,cortex,L,Default,-54.488245,-11.051578,-14.342195,4126,16.60759869
227,7Networks_LH_Default_Temp_5,cortex,L,Default,-53.395781,2.616978,-11.475074,3453,18.97937371
228,7Networks_LH_Default_Temp_6,cortex,L,Default,-57.951685,-36.464391,-3.797215,4103,16.23799198
229,7Networks_LH_Default_Temp_7,cortex,L,Default,-52.430431,-24.925639,-4.844958,1869,15.88245451
230,7Networks_LH_Default_Temp_8,cortex,L,Default,-58.683913,-14.541394,-2.607969,1898,16.64751329
231,7Networks_LH_Default_Temp_9,cortex,L,Default,-59.959241,-33.000974,6.025218,2637,17.61964134
232,7Networks_LH_Default_Temp_10,cortex,L,Default,-52.482452,-42.68865,5.267535,1869,19.83852254
233,7Networks_LH_Default_Par_1,cortex,L,Default,-56.235778,-48.229832,16.307606,2029,22.94470331
234,7Networks_LH_Default_Par_2,cortex,L,Default,-46.814083,-58.169657,19.647777,2312,26.27304957
235,7Networks_LH_Default_Par_3,cortex,L,Default,-39.756208,-76.081389,28.31127,3700,30.5435724
236,7Networks_LH_Default_Par_4,cortex,L,Default,-46.230503,-62.515347,30.114476,3710,28.76826756
237,7Networks_LH_Default_Par_5,cortex,L,Default,-54.185798,-52.500166,28.523707,3037,28.12566361
238,7Networks_LH_Default_Par_6,cortex,L,Default,-38.838218,-69.752824,41.48415,3557,30.43655318
239,7Networks_LH_Default_Par_7,cortex,L,Default,-45.93242,-58.332069,43.097517,2409,30.53382573
240,7Networks_LH_Default_PFC_1,cortex,L,Default,-32.643428,20.642412,-15.812213,3355,18.05371289
241,7Networks_LH_Default_PFC_2,cortex,L,Default,-34.009268,36.513538,-12.532181,1808,21.24089469
242,7Networks_LH_Default_PFC_3,cortex,L,Default,-5.865077,54.056116,-9.095926,2835,18.68061302
243,7Networks_LH_Default_PFC_4,cortex,L,Default,-5.882449,34.782372,-9.374053,3676,13.2624101
244,7Networks_LH_Default_PFC_5,cortex,L,Default,-45.265206,31.95898,-8.698243,2553,20.55588967
245,7Networks_LH_Default_PFC_6,cortex,L,Default,-28.604986,55.386386,1.955806,2539,24.3216989
246,7Networks_LH_Default_PFC_7,cortex,L,Default,-46.61034,29.123615,1.932849,3115,23.56723897
247,7Networks_LH_Default_PFC_8,cortex,L,Default,-7.654597,57.135959,8.608778,1999,24.00635314
248,7Networks_LH_Default_PFC_9,cortex,L,Default,-7.308672,44.188264,7.378125,4263,22.70774566
249,7Networks_LH_Default_PFC_10,cortex,L,Default,-50.221834,22.030915,10.917105,4058,25.35672385
250,7Networks_LH_Default_PFC_11,cortex,L,Default,-16.651191,62.982369,10.773049,2678,24.32688182
251,7Networks_LH_Default_PFC_12,cortex,L,Default,-6.242512,32.019376,22.697983,3642,21.4658292
252,7Networks_LH_Default_PFC_13,cortex,L,Default,-6.126354,48.354824,29.052263,6330,25.12863481
253,7Networks_LH_Default_PFC_14,cortex,L,Default,-14.508859,53.506492,30.077966,3765,30.84303466
254,7Networks_LH_Default_PFC_15,cortex,L,Default,-22.051411,47.694138,27.285891,3346,30.63451224
255,7Networks_LH_Default_PFC_16,cortex,L,Default,-26.64803,29.68764,39.472945,2194,28.90903324
