roi_list1,roi_list2,index_list2,region,side,networks,x,y,z,volume,braak,rbd_relevant,motor,arousal
7Networks_LH_SomMot_15,7Networks_LH_SomMot_15,229,cortex,L,SomMot,-53.530656,-21.6074,38.991053,1498,,,,
7Networks_LH_SomMot_16,7Networks_LH_SomMot_16,230,cortex,L,SomMot,-48.003673,-8.938119,41.172038,2388,,,,
7Networks_LH_SomMot_17,7Networks_LH_SomMot_17,231,cortex,L,SomMot,-46.485826,-16.879435,38.24947,1389,,,,
7Networks_LH_SomMot_18,7Networks_LH_SomMot_18,232,cortex,L,SomMot,-8.644323,-14.851623,45.78342,2531,,,,
7Networks_LH_SomMot_19,7Networks_LH_SomMot_19,233,cortex,L,SomMot,-38.88288,-15.294686,46.034419,1527,,,,
7Networks_LH_SomMot_20,7Networks_LH_SomMot_20,234,cortex,L,SomMot,-46.397239,-20.126652,51.795124,1646,,,,
7Networks_LH_SomMot_21,7Networks_LH_SomMot_21,235,cortex,L,SomMot,-44.34311,-30.052582,53.169974,2774,,,,
7Networks_LH_SomMot_22,7Networks_LH_SomMot_22,236,cortex,L,SomMot,-36.885765,-25.450581,49.702388,983,,,,
7Networks_LH_SomMot_23,7Networks_LH_SomMot_23,237,cortex,L,SomMot,-9.513195,-37.089298,53.194381,1095,,,,
7Networks_LH_SomMot_24,7Networks_LH_SomMot_24,238,cortex,L,SomMot,-4.973234,-22.341292,54.510617,1694,,,,
7Networks_LH_SomMot_25,7Networks_LH_SomMot_25,239,cortex,L,SomMot,-4.841285,-8.347084,59.294288,2019,,,,
7Networks_LH_SomMot_26,7Networks_LH_SomMot_26,240,cortex,L,SomMot,-33.481124,-19.556182,59.802591,3730,,,,
7Networks_LH_SomMot_27,7Networks_LH_SomMot_27,241,cortex,L,SomMot,-29.993581,-45.107796,59.20503,2757,,,,
7Networks_LH_SomMot_28,7Networks_LH_SomMot_28,242,cortex,L,SomMot,-32.085183,-30.434727,59.084075,2131,,,,
7Networks_LH_SomMot_29,7Networks_LH_SomMot_29,243,cortex,L,SomMot,-29.809343,-37.43372,61.159542,2245,,,,
7Networks_LH_SomMot_30,7Networks_LH_SomMot_30,244,cortex,L,SomMot,-25.354751,-11.496116,60.752604,2919,,,,
7Networks_LH_SomMot_31,7Networks_LH_SomMot_31,245,cortex,L,SomMot,-20.670041,-25.742655,62.557829,1098,,,,
7Networks_LH_SomMot_32,7Networks_LH_SomMot_32,246,cortex,L,SomMot,-9.217099,-41.395007,68.045347,2162,,,,
7Networks_LH_SomMot_33,7Networks_LH_SomMot_33,247,cortex,L,SomMot,-5.476528,-25.167357,66.968616,2717,,,,
